Cluster	organ	organ_code	cluster_id	compartment	L1_annot	L2_annot	L3_annot	dend_order	ncell	median_numi	median_ngene	median_nfrags	median_tss	median_frip	note	organ_color	compartment_color	Cluster_ChromBPNet
BR_4	Brain	BR	4	epi	BR_4_excitatory neurons 3	Brain excitatory neurons	neurons	22	4766	2563	1526	1651	8.57	0.255389374	NEUROD2 excitatory neurons; UNC5D+	#0C727C	#11A579	Brain_c4
BR_0	Brain	BR	0	epi	BR_0_excitatory neurons 1	Brain excitatory neurons	neurons	23	9750	3355.5	1803	1866	11.861	0.387066946	TBR1/EMX1+ CUX2+ excitatory neurons	#0C727C	#11A579	Brain_c0
BR_3	Brain	BR	3	epi	BR_3_MGE-derived inhibitory neurons 1	Brain MGE-derived inhibitory neurons	neurons	24	4939	10606	3750	4681	8.343	0.280032034	GABRG3 (GABA receptor) SGCZ marker; GAD1 GAD2 inhibitory neurons; mostly T64_b4_Brain_PCW18; LHX6+ indicating medial ganglionic eminence (MGE) origin	#0C727C	#11A579	Brain_c3
BR_10	Brain	BR	10	epi	BR_10_CGE-derived inhibitory neurons	Brain CGE-derived inhibitory neurons	neurons	25	3502	3304	1801	1721	10.3635	0.321043582	DLX+ GAD1 GAD2 inhibitory neuron; ADARB2/CALB2 indicative of CGE origin	#0C727C	#11A579	Brain_c10
BR_9	Brain	BR	9	epi	BR_9_MGE-derived inhibitory neurons 2	Brain MGE-derived inhibitory neurons	neurons	26	3812	4171	2099	2208	9.072	0.287984257	DLX+ GAD1 GAD2 inhibitory neuron; LHX6/SOX6+ indicating MGE-derived	#0C727C	#11A579	Brain_c9
BR_2	Brain	BR	2	epi	BR_2_excitatory neurons 2	Brain excitatory neurons	neurons	27	6705	6587	2809	3471	7.943	0.275197984	NEUROD2 BCL11B TBR1 POU6F2 excitatory neurons	#0C727C	#11A579	Brain_c2
BR_6	Brain	BR	6	epi	BR_6_excitatory neurons 5	Brain excitatory neurons	neurons	28	4463	12916	4204	6408	7.895	0.303935348	mostly T47_b4_Brain_PCW17; high SATB2 NEUROD2 FEZF2 excitatory neurons	#0C727C	#11A579	Brain_c6
BR_5	Brain	BR	5	epi	BR_5_excitatory neurons 4	Brain excitatory neurons	neurons	29	4721	7868	3003	3541	8.922	0.304998568	mostly T64_b4_Brain_PCW18; RFX3 RORB excitatory neurons	#0C727C	#11A579	Brain_c5
BR_7	Brain	BR	7	epi	BR_7_excitatory neurons 6	Brain excitatory neurons	neurons	30	4405	4842	2302	4021	8.016	0.26961004	CNTN4 excitatory neurons	#0C727C	#11A579	Brain_c7
BR_12	Brain	BR	12	epi	BR_12_excitatory neurons 7	Brain excitatory neurons	neurons	31	3372	7511	3102.5	4449	6.6585	0.241987543	CNTN4 KCNQ5 excitatory neurons;entirely T63_b4_Brain_PCW20	#0C727C	#11A579	Brain_c12
EY_20	Eye	EY	20	epi	EY_20_amacrine 2	Eye amacrine	neurons	32	329	3041	1853	6701	8.168	0.285170216	GAD1 GAD2 GABA_amacrine/amacrine	#ff9f0f	#11A579	Eye_c20
EY_6	Eye	EY	6	epi	EY_6_retinal ganglion	Eye retinal ganglion	neurons	33	3616	5408.5	2844.5	9299	6.8285	0.279085267	RBPMS, GAP43, EPHA6	#ff9f0f	#11A579	Eye_c6
EY_11	Eye	EY	11	epi	EY_11_horizontal	Eye horizontal	neurons	34	2303	2353	1583	5421	8.911	0.329735176	ONECUT1 ONECUT2 horizontal	#ff9f0f	#11A579	Eye_c11
EY_3	Eye	EY	3	epi	EY_3_amacrine 1	Eye amacrine	neurons	35	5672	1599	1161	4972.5	8.951	0.309517857	GAD1 GAD2 GABA_amacrine/amacrine	#ff9f0f	#11A579	Eye_c3
LI_12	Liver	LI	12	imm	LI_12_megakaryocyte	Liver megakaryocyte	immune	36	1042	1960	1406	9223.5	10.187	0.449461508	high PECAM1 and TRPC6; ITGA2B (CD41) DNM3 marker	#3b46a3	#F2B701	Liver_c12
LU_17	Lung	LU	17	imm	LU_17_megakaryocyte	Lung megakaryocyte	immune	37	284	2742.5	1840	8176	10.2535	0.421200374	ITGA2B (CD41) DNM3 markers	#f0643e	#F2B701	Lung_c17
LI_0	Liver	LI	0	imm	LI_0_cycling erythroblast	Liver cycling erythroblast	erythroblasts	38	16461	1480	1132	6066	14.276	0.530021834	cycling; ANK1 TFRC SLC4A1	#3b46a3	#F2B701	Liver_c0
LI_5	Liver	LI	5	imm	LI_5_early erythroblast	Liver early erythroblast	erythroblasts	39	3762	1846.5	1415.5	9036.5	9.3785	0.432707697	cell cycle dependent; high ANK1 TFRC	#3b46a3	#F2B701	Liver_c5
LI_2	Liver	LI	2	imm	LI_2_erythroblast 1	Liver erythroblast	erythroblasts	40	8716	1250	931.5	4234.5	16.468	0.575901712	ANK1 SLC4A1 ALAS2 TFRC marker	#3b46a3	#F2B701	Liver_c2
LI_8	Liver	LI	8	imm	LI_8_erythroblast 2	Liver erythroblast	erythroblasts	41	2362	1492	1168.5	5765.5	13.6765	0.500308991	TFRC	#3b46a3	#F2B701	Liver_c8
EY_18	Eye	EY	18	imm	EY_18_macrophage	Eye macrophage	immune	42	640	2468.5	1754	5739.5	7.367	0.2633843596	PTPRC CD163	#ff9f0f	#F2B701	Eye_c18
SP_8	Spleen	SP	8	imm	SP_8_Megakaryocyte	Spleen Megakaryocyte	immune	43	1462	1270	1008.5	8970	9.49	0.369073564	RIPOR3+ DNM3+	#3BBCA8	#F2B701	Spleen_c8
SP_10	Spleen	SP	10	imm	SP_10_Erythroblast	Spleen Erythroblast	erythroblasts	44	1310	1247.5	1026.5	11752	10.3905	0.367128056	SPTA1 and ANK1+ erythroblastoid markers	#3BBCA8	#F2B701	Spleen_c10
SP_3	Spleen	SP	3	imm	SP_3_B cells	Spleen B cells	immune	45	3866	1148	955	9672	8.7675	0.344923896	MS4A1, CD19, IGHM+	#3BBCA8	#F2B701	Spleen_c3
SP_9	Spleen	SP	9	imm	SP_9_NK T cells	Spleen NK T cells	immune	46	1413	1031	869	7903	9.272	0.354074074	CD247+	#3BBCA8	#F2B701	Spleen_c9
TM_6	Thymus	TM	6	epi	TM_6_cortical TEC	Thymus cortical TEC	immune	47	2783	3354	2183	15137	9.276	0.359877947	CDH1+; ADARB2+; SLIT-ROBO signaling; very minor AIRE+ pre-decontX; high expression of Park et al cTEC/mcTEC genes	#6E4B9E	#11A579	Thymus_c6
LI_11	Liver	LI	11	imm	LI_11_B cell progenitor	Liver B cell progenitor	immune	48	1154	1469	1144.5	6372	12.2955	0.474692339	EBF1 PAX5 marker; B lineage cells https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3323878/	#3b46a3	#F2B701	Liver_c11
TM_12	Thymus	TM	12	imm	TM_12_macrophages	Thymus macrophages	immune	49	554	2802	1952	11846	9.1155	0.348207389	CD163L1+; high expression of Park et al macrophage genes	#6E4B9E	#F2B701	Thymus_c12
TM_11	Thymus	TM	11	imm	TM_11_dendritic cells	Thymus dendritic cells	immune	50	787	2983	2012	18951	9.035	0.368432456	FLT3+; high expresison of Park et al DC genes	#6E4B9E	#F2B701	Thymus_c11
TM_15	Thymus	TM	15	imm	TM_15_B cells	Thymus B cells	immune	51	290	2530	1743	10797.5	8.9465	0.350355501	PAX5+; high expression of Park et al B cell genes	#6E4B9E	#F2B701	Thymus_c15
TM_0	Thymus	TM	0	imm	TM_0_CD8+ CD4+ thymocytes 1	Thymus CD8+ CD4+ thymocytes	immune	52	9138	1641	1209	7320.5	10.3715	0.401123428	PTPRC+; clusters with 1/3; low CD8+	#6E4B9E	#F2B701	Thymus_c0
TM_2	Thymus	TM	2	imm	TM_2_CD8+ CD4+ thymocytes 3	Thymus CD8+ CD4+ thymocytes	immune	53	5635	3161	2069	15301	9.74	0.364928561	PTPRC+; cycling (G2/M and S-assigned); clusters with 0/1; low CD8+	#6E4B9E	#F2B701	Thymus_c2
TM_1	Thymus	TM	1	imm	TM_1_CD8+ CD4+ thymocytes 2	Thymus CD8+ CD4+ thymocytes	immune	54	6268	2216.5	1567.5	8730.5	9.971	0.388331142	TOX/TOX2 markers; PTPRC+; clusters with 0/3; low CD8+	#6E4B9E	#F2B701	Thymus_c1
BR_17	Brain	BR	17	imm	BR_17_macrophages	Brain macrophages	immune	55	335	4456	2425	2876	8.753	0.299757478	PTPRC LY86 MRC1 CD163L1+; subset with high estimated contamination	#0C727C	#F2B701	Brain_c17
LI_7	Liver	LI	7	imm	LI_7_Kupffer	Liver Kupffer	immune	56	3467	1800	1358	7607	11.019	0.485857252	LGMN Kupffer cells (liver resident macrophages)	#3b46a3	#F2B701	Liver_c7
SP_5	Spleen	SP	5	imm	SP_5_Macrophage	Spleen Macrophage	immune	57	2635	1228	1010	11904	7.725	0.32336589	CD163+	#3BBCA8	#F2B701	Spleen_c5
AG_6	Adrenal	AG	6	imm	AG_6_macrophages	Adrenal macrophages	immune	58	89	4511	2478	4198	9.267	0.215021307	PTPRC+ MRC+ CD163+ IKZF1+; mix of samples	#876941	#F2B701	Adrenal_c6
HT_14	Heart	HT	14	imm	HT_14_macrophage	Heart macrophage	immune	59	869	2386	1586	4379	11.263	0.447238507	PTPRC marker CD163	#D51F26	#F2B701	Heart_c14
LU_12	Lung	LU	12	imm	LU_12_macrophage	Lung macrophage	immune	60	3747	2134	1566	6820	10.076	0.407185629	PTPRC CD163	#f0643e	#F2B701	Lung_c12
ST_19	StomachEsophagus	ST	19	imm	ST_19_macrophage	StomachEsophagus macrophage	immune	61	595	1753	1299	4929	6.856	0.291545455	high PTPRC CD163	#208A42	#F2B701	Stomach_c19
MU_15	Muscle	MU	15	imm	MU_15_macrophages	Muscle macrophages	immune	62	1755	2404	1678	5947	8.544	0.291740763	expression of macrophage markers inlcuding PTPRC/MRC/F13A1	#89C75F	#F2B701	Muscle_c15
SK_15	Skin	SK	15	imm	SK_15_macrophage	Skin macrophage	immune	63	632	1968.5	1478	11487	8.015	0.244741623	PTPRC+, MRC1+, LGMN	#ad0773	#F2B701	Skin_c15
LU_3	Lung	LU	3	epi	LU_3_ciliated 1	Lung ciliated	ciliated	64	13959	3880	2488	10875	10.716	0.44472084	DNAH11 DNAH5 dynein markers	#f0643e	#11A579	Lung_c3
LU_15	Lung	LU	15	epi	LU_15_ciliated 2	Lung ciliated	ciliated	65	1709	3981	2500	10085	10.776	0.447297179	DNAH11 DNAH5 dynein markers	#f0643e	#11A579	Lung_c15
ST_13	StomachEsophagus	ST	13	epi	ST_13_epithelial basal/keratinocyte	StomachEsophagus epithelial basal/keratinocyte	keratinocytes	66	2197	2630	1760	5906	7.673	0.345842956	mostly esophagus sample; KRT5+ KRT15+ high SCPEP1	#208A42	#11A579	Stomach_c13
ST_4	StomachEsophagus	ST	4	epi	ST_4_keratinocytes/tuft cells	StomachEsophagus keratinocytes/tuft cells	keratinocytes	67	5869	3064	1883	5267	7.829	0.41417659	mostly esophagus sample; KRT13+ KRT4+ KRT7+ IRAG2+	#208A42	#11A579	Stomach_c4
ST_15	StomachEsophagus	ST	15	epi	ST_15_ciliated epithelium	StomachEsophagus ciliated epithelium	ciliated	68	1430	5941.5	2942.5	8573	6.7095	0.355853986	mostly esophagus sample; high umi; DNAH12+ CFAP299+	#208A42	#11A579	Stomach_c15
ST_0	StomachEsophagus	ST	0	epi	ST_0_chief and neck cells	StomachEsophagus chief and neck cells	chief and neck cells	69	11861	1884	1402	6182	6.641	0.373969223	MUC6+	#208A42	#11A579	Stomach_c0
ST_3	StomachEsophagus	ST	3	epi	ST_3_parietal cells	StomachEsophagus parietal cells	parietal cells	70	6473	2339	1604	6494	6.899	0.346722523	ATP4A+ ATP4B+	#208A42	#11A579	Stomach_c3
LU_5	Lung	LU	5	epi	LU_5_airway epithelial progenitor 2	Lung airway epithelial progenitor	airway epithelial progenitor	71	10353	1737	1335	6975	10.459	0.426128058	SFTPB marker	#f0643e	#11A579	Lung_c5
LU_0	Lung	LU	0	epi	LU_0_airway epithelial progenitor 1	Lung airway epithelial progenitor	airway epithelial progenitor	72	28899	1839	1385	7820	11.198	0.470843457	SFTPB SFTPC marker	#f0643e	#11A579	Lung_c0
LU_10	Lung	LU	10	epi	LU_10_airway epithelial progenitor 5	Lung airway epithelial progenitor	airway epithelial progenitor	73	6086	3427	2111	4225	9.565	0.430564774	cycling; entirely T164_b12_Lung_PCW10; high ETV5 some SOX9	#f0643e	#11A579	Lung_c10
BR_13	Brain	BR	13	end	BR_13_endothelial 1	Brain endothelial	endothelial	74	3234	2067	1491.5	2956.5	11.9775	0.442247845	entirely T382_b4_Brain_PCW15; MECOM+	#0C727C	#7F3C8D	Brain_c13
LU_8	Lung	LU	8	epi	LU_8_airway epithelial progenitor 3	Lung airway epithelial progenitor	airway epithelial progenitor	75	8389	2206	1529	3804	12.271	0.530136986	SFTPB marker	#f0643e	#11A579	Lung_c8
MU_8	Muscle	MU	8	str	MU_8_smooth muscle 2	Muscle smooth muscle	smooth muscle	76	4571	1382	1062	3719	10.589	0.299306063	MECOM/SFTPB+	#89C75F	#3969AC	Muscle_c8
SK_17	Skin	SK	17	epi	SK_17_keratinocyte 2	Skin keratinocyte	keratinocytes	77	243	2745	1923	15798	8.556	0.304391408	KRT4, KRT13, KRT23+, MYO5B+ (either granular or basal keratinocyte)	#ad0773	#11A579	Skin_c17
SK_18	Skin	SK	18	epi	SK_18_epidermal progenitor	Skin epidermal progenitor	epidermal progenitor	78	226	3222	2219	20768.5	8.0565	0.256153333	DNMT1+, BMP7+	#ad0773	#11A579	Skin_c18
SK_2	Skin	SK	2	epi	SK_2_keratinocyte 1	Skin keratinocyte	keratinocytes	79	6480	1614.5	1251.5	10549.5	8.113	0.286928611	KRT10+, TP63+, MME+, DSC3+	#ad0773	#11A579	Skin_c2
SK_12	Skin	SK	12	epi	SK_12_interfollicular cells	Skin interfollicular cells	interfollicular cells	80	1731	1624	1268	11598	8.177	0.269016092	EDA+, TSPEAR+, FRAS1+	#ad0773	#11A579	Skin_c12
HT_5	Heart	HT	5	str	HT_5_aCM 2	Heart aCM	cardiomyocytes	81	8102	7503	3492	7897	11.43	0.506152255	MYL2 ANKRD1 MYL7 TNNI3 ACTN2 CNN1 marker; mostly T104_b11_Heart_PCW17; high MYL7 MYH6 NPPA atrial	#D51F26	#3969AC	Heart_c5
HT_8	Heart	HT	8	str	HT_8_cycling vCM	Heart cycling vCM	cardiomyocytes	82	5654	3687	2014.5	6596.5	12.6755	0.562222066	cell cycle dependent	#D51F26	#3969AC	Heart_c8
HT_7	Heart	HT	7	str	HT_7_vCM 3	Heart vCM	cardiomyocytes	83	5716	1781.5	1166	5337.5	12.9645	0.590143549	ANKRD1 ACTN2 MYL2 marker; mostly T104_b11_Heart_PCW17	#D51F26	#3969AC	Heart_c7
HT_1	Heart	HT	1	str	HT_1_vCM 2	Heart vCM	cardiomyocytes	84	14883	2702	1530	4711	14.543	0.611670616	high ACTN2 ANKRD1 MYOCD no NPPA MYH6; entirely T014_b11_Heart_PCW18	#D51F26	#3969AC	Heart_c1
HT_0	Heart	HT	0	str	HT_0_vCM 1	Heart vCM	cardiomyocytes	85	33620	2865	1588	4297	13.073	0.584998747	high ACTN2 ANKRD1 MYOCD no NPPA MYH6	#D51F26	#3969AC	Heart_c0
HT_15	Heart	HT	15	epi	HT_15_epicardial	Heart epicardial	epicardial	86	528	5563	2913.5	11645.5	9.388	0.354528032	EFEMP1 WT1 marker	#D51F26	#11A579	Heart_c15
HT_2	Heart	HT	2	str	HT_2_aCM 1	Heart aCM	cardiomyocytes	87	13925	4281	2404	5549	10.272	0.455488163	NPPA MYH6 MYL7 marker; entirely T032_b11_Heart_PCW12	#D51F26	#3969AC	Heart_c2
SP_2	Spleen	SP	2	end	SP_2_Endothelial progenitor 1	Spleen Endothelial progenitor	endothelial	88	3925	1261	1024	9814	9.627	0.407085637	CD34+ and PECAM positive	#3BBCA8	#7F3C8D	Spleen_c2
SP_6	Spleen	SP	6	end	SP_6_Endothelial progenitor 2	Spleen Endothelial progenitor	endothelial	89	2012	1364.5	1106	11179	8.3495	0.32019876	CD34+ and PECAM positive	#3BBCA8	#7F3C8D	Spleen_c6
BR_16	Brain	BR	16	end	BR_16_endothelial 2	Brain endothelial	endothelial	90	648	12580	4536	7422	7.7325	0.286770229	VWF/MECOM/TEK	#0C727C	#7F3C8D	Brain_c16
HT_11	Heart	HT	11	end	HT_11_endocardial 2	Heart endocardial	endothelial	91	2438	4112	2359.5	7079.5	11.0075	0.473145918	PECAM1 marker; high CDH5 NOTCH1	#D51F26	#7F3C8D	Heart_c11
AG_5	Adrenal	AG	5	end	AG_5_endothelial	Adrenal endothelial	endothelial	92	115	4117	2188	4192	10.125	0.241716546	PECAM1+ TEK+; mix of samples	#876941	#7F3C8D	Adrenal_c5
LI_10	Liver	LI	10	end	LI_10_endothelial	Liver endothelial	endothelial	93	1674	1773.5	1348	7757	11.855	0.498689505	LDB2 STAB2 KDR endothelial	#3b46a3	#7F3C8D	Liver_c10
MU_5	Muscle	MU	5	end	MU_5_endothelial 1	Muscle endothelial	endothelial	94	5955	3137	2041	6804	8.626	0.309281786	MECOM/VWF+; also expressing VEGF recepors (KDR/FLT4/NRP2)	#89C75F	#7F3C8D	Muscle_c5
SK_4	Skin	SK	4	end	SK_4_vascular endothelium	Skin vascular endothelium	endothelial	95	4889	2314	1684	12033	9.717	0.297590112	PECAM1, VWF, FLT1(VEGFR1)+	#ad0773	#7F3C8D	Skin_c4
EY_9	Eye	EY	9	end	EY_9_vascular endothelium	Eye vascular endothelium	endothelial	96	2451	2297	1665	5664	6.913	0.238997821	PECAM1	#ff9f0f	#7F3C8D	Eye_c9
HT_4	Heart	HT	4	end	HT_4_endocardial 1	Heart endocardial	endothelial	97	8253	4041	2346	8340	12.775	0.544628752	PECAM1 CDH5 marker; high NOTCH1	#D51F26	#7F3C8D	Heart_c4
ST_10	StomachEsophagus	ST	10	end	ST_10_endothelial	StomachEsophagus endothelial	endothelial	98	3381	2925	1952	8246	6.78	0.291659037	PECAM1+ VWF+	#208A42	#7F3C8D	Stomach_c10
LU_2	Lung	LU	2	end	LU_2_vascular endothelial	Lung vascular endothelial	endothelial	99	21309	2530	1768	7937	10.895	0.439747241	PECAM1	#f0643e	#7F3C8D	Lung_c2
LU_11	Lung	LU	11	end	LU_11_lymphatics	Lung lymphatics	lymphatics	100	3748	3297	2198	9018	10.4675	0.407718189	PROX1 RELN marker; lymphatics	#f0643e	#7F3C8D	Lung_c11
SK_13	Skin	SK	13	end	SK_13_lymphatic endothelium	Skin lymphatic endothelium	lymphatics	101	1171	2216	1620	11785	9.003	0.2726693	PROX1+, STAB2+	#ad0773	#7F3C8D	Skin_c13
ST_20	StomachEsophagus	ST	20	end	ST_20_lymphatics	StomachEsophagus lymphatics	lymphatics	102	383	4337	2589	12228	6.305	0.275779975	high umi; high STAB2 RELN PROX1	#208A42	#7F3C8D	Stomach_c20
TR_6	Thyroid	TR	6	epi	TR_6_thyroid follicular 4	Thyroid thyroid follicular	thyroid follicular	103	299	3412	2199	9162	8.323	0.23081571	TPO, TG, TSHR+	#8A9FD1	#11A579	Thyroid_c6
TR_7	Thyroid	TR	7	str	TR_7_thyroid follicular 5	Thyroid thyroid follicular	thyroid follicular	104	205	5072	2997	14047	8.576	0.234077947	TPO, TG, TSHR+	#8A9FD1	#3969AC	Thyroid_c7
TR_0	Thyroid	TR	0	epi	TR_0_thyroid follicular 1	Thyroid thyroid follicular	thyroid follicular	105	2956	877	690.5	2672.5	8.264	0.218073469	TPO, TG, TSHR+	#8A9FD1	#11A579	Thyroid_c0
TR_1	Thyroid	TR	1	epi	TR_1_thyroid follicular 2	Thyroid thyroid follicular	thyroid follicular	106	1833	1729	1253	5348	8.306	0.224600457	TPO, TG, TSHR+	#8A9FD1	#11A579	Thyroid_c1
EY_5	Eye	EY	5	str	EY_5_extraocular muscle	Eye extraocular muscle	skeletal muscle	107	4008	3553.5	2147	5811	8.0715	0.28209391	high TRPC6; TTN MYH3 skeletal muscle	#ff9f0f	#3969AC	Eye_c5
MU_18	Muscle	MU	18	str	MU_18_myocytes	Muscle myocytes	skeletal muscle	108	1006	3318	2012	6221	8.871	0.331913197	clusters with 0/2/10/16	#89C75F	#3969AC	Muscle_c18
MU_0	Muscle	MU	0	str	MU_0_myocytes (fast/Type II) 1	Muscle myocytes (fast/Type II)	skeletal muscle	109	12909	2491	1576	4924	9.282	0.364124924	high TTN/MYLPF; high MYOG; low PAX3 (PMID: 32396864)	#89C75F	#3969AC	Muscle_c0
MU_16	Muscle	MU	16	str	MU_16_myocytes (slow/Type I) 2	Muscle myocytes (slow/Type I)	skeletal muscle	110	1263	4471	2589	6073	8.43	0.316220238	MYH7+; MYOD1-low but MYOG/ACTC1 high (PMID: 37003036); TNNT1 contractile gene	#89C75F	#3969AC	Muscle_c16
TM_16	Thymus	TM	16	epi	TM_16_medullary TEC (neuromuscular)	Thymus medullary TEC (neuromuscular)	thymic epithelial cells	111	98	3763	2211.5	10618.5	10.267	0.328792521	expression of BCHE (neurotransmitter enzyme)	#6E4B9E	#11A579	Thymus_c16
TM_3	Thymus	TM	3	epi	TM_3_medullary TEC (myoid Type IIa) 1	Thymus medullary TEC (myoid Type IIa)	thymic epithelial cells	112	5033	2833	1753	7791	10.369	0.333408782	MYOG/MYPN/MYOT/MYH2+ (similar to TEC(myo) in Park et al); clusters with 14	#6E4B9E	#11A579	Thymus_c3
TM_14	Thymus	TM	14	epi	TM_14_medullary TEC (myoid Type I)	Thymus medullary TEC (myoid Type I)	thymic epithelial cells	113	358	3772	2199	9345	9.6745	0.310805065	MYH7+; clusters with 2	#6E4B9E	#11A579	Thymus_c14
TM_7	Thymus	TM	7	end	TM_7_endothelial cells	Thymus endothelial cells	endothelial	114	1332	3690	2352.5	10580	8.5815	0.264372979	PECAM1+/MECOM+	#6E4B9E	#7F3C8D	Thymus_c7
TM_4	Thymus	TM	4	epi	TM_4_medullary TEC (myoid Type IIa) 2	Thymus medullary TEC (myoid Type IIa)	thymic epithelial cells	115	3228	5237	3106	6042	8.554	0.275147252	MYH2+	#6E4B9E	#11A579	Thymus_c4
TM_9	Thymus	TM	9	epi	TM_9_medullary TEC (myoid) 2	Thymus medullary TEC (myoid)	thymic epithelial cells	116	868	4783.5	2854.5	15510	6.987	0.200075469	PAX7+; high expression of TEC(myo) signature	#6E4B9E	#11A579	Thymus_c9
