Cluster	organ	organ_code	cluster_id	compartment	L1_annot	L2_annot	L3_annot	dend_order	ncell	median_numi	median_ngene	median_nfrags	median_tss	median_frip	note	organ_color	compartment_color	Cluster_ChromBPNet
SP_4	Spleen	SP	4	str	SP_4_Fibroblast 3	Spleen Fibroblast	fibroblasts	142	2645	1870	1426	12785	8.129	0.313241895	ATXN1+	#3BBCA8	#3969AC	Spleen_c4
SP_7	Spleen	SP	7	str	SP_7_Fibroblast 4	Spleen Fibroblast	fibroblasts	143	1787	1538	1183	11094	8.564	0.360448366	ATXN1+	#3BBCA8	#3969AC	Spleen_c7
EY_10	Eye	EY	10	epi	EY_10_RPE	Eye RPE	pigmented epithelium	144	2441	2226	1593	6760	7.39	0.291489362	TRPM3 TRPM1 PLD5 OPCML BEST1 markers RPE	#ff9f0f	#11A579	Eye_c10
EY_15	Eye	EY	15	epi	EY_15_ciliated pigmented epithelium	Eye ciliated pigmented epithelium	pigmented epithelium	145	1081	2053	1490	6337	8.143	0.294491138	SLC4A4 SLC38A11 ATP6V1C2	#ff9f0f	#11A579	Eye_c15
EY_19	Eye	EY	19	epi	EY_19_cornea 1	Eye cornea	cornea	146	519	1948	1441	5142	8.349	0.305754869	PIP5K1B COL4A3 COL4A4	#ff9f0f	#11A579	Eye_c19
EY_12	Eye	EY	12	str	EY_12_smooth muscle	Eye smooth muscle	smooth muscle	147	2141	1748	1295	3926	8.243	0.27510917	MYH11 smooth muscle cell	#ff9f0f	#3969AC	Eye_c12
EY_1	Eye	EY	1	str	EY_1_fibroblast	Eye fibroblast	fibroblasts	148	6420	1773.5	1328	3965	7.3525	0.244045618	high COL1A2 COL1A1 fibroblast	#ff9f0f	#3969AC	Eye_c1
EY_4	Eye	EY	4	str	EY_4_trabecular meshwork	Eye trabecular meshwork	trabecular meshwork	149	4704	1844	1357.5	4115	7.22	0.254044549	BICC1 LAMA4 PIEZO2	#ff9f0f	#3969AC	Eye_c4
ST_17	StomachEsophagus	ST	17	str	ST_17_smooth muscle 4	StomachEsophagus smooth muscle	smooth muscle	150	1070	2215	1428.5	3380	7.5435	0.364559281	mostly esophagus sample; MYH11+ COL12A1+ ACTA2+ MYH11+	#208A42	#3969AC	Stomach_c17
ST_7	StomachEsophagus	ST	7	str	ST_7_smooth muscle 3	StomachEsophagus smooth muscle	smooth muscle	151	5518	2597.5	1553.5	3830	8.5245	0.372567776	mostly esophagus sample; ACTA2+ MYH11+	#208A42	#3969AC	Stomach_c7
ST_11	StomachEsophagus	ST	11	str	ST_11_cycling stromal	StomachEsophagus cycling stromal	stromal	152	3130	2137	1507.5	5848	7.736	0.33434332	cell cycle dependent; MKI67+	#208A42	#3969AC	Stomach_c11
ST_2	StomachEsophagus	ST	2	str	ST_2_smooth muscle 2	StomachEsophagus smooth muscle	smooth muscle	153	6860	2179	1561.5	8330.5	7.058	0.310134115	COL1A1+ ACTA2+ COL3A1+ COL1A2+ MYH11+	#208A42	#3969AC	Stomach_c2
ST_1	StomachEsophagus	ST	1	str	ST_1_smooth muscle 1	StomachEsophagus smooth muscle	smooth muscle	154	7577	1717	1205	3480	9.464	0.413793103	ACTA2+ MYH11+	#208A42	#3969AC	Stomach_c1
ST_14	StomachEsophagus	ST	14	str	ST_14_interstitial cells of Cajal	StomachEsophagus interstitial cells of Cajal	interstitial cells of Cajal	155	1893	1928	1347	4286	7.295	0.324267782	ANO1+ KIT+	#208A42	#3969AC	Stomach_c14
ST_5	StomachEsophagus	ST	5	str	ST_5_fibroblasts 1	StomachEsophagus fibroblasts	fibroblasts	156	5672	1577	1173	4232.5	6.99	0.306583784	high DCN COL1A2 FBLN1	#208A42	#3969AC	Stomach_c5
ST_6	StomachEsophagus	ST	6	str	ST_6_fibroblasts 2	StomachEsophagus fibroblasts	fibroblasts	157	5555	1804	1287	4140	6.895	0.310701107	high DCN COL1A2 FBLN1	#208A42	#3969AC	Stomach_c6
LU_16	Lung	LU	16	epi	LU_16_mesothelial	Lung mesothelial	mesothelial	158	395	3727	2393	9957	10.117	0.376169406	C3	#f0643e	#11A579	Lung_c16
ST_21	StomachEsophagus	ST	21	str	ST_21_mesothelial	StomachEsophagus mesothelial	mesothelial	159	243	3002	2020	9200	6.417	0.251187401	high umi; mesothelial WT1+	#208A42	#3969AC	Stomach_c21
LU_6	Lung	LU	6	str	LU_6_pericytes	Lung pericytes	pericytes	160	9897	2429	1696	7272	10.186	0.429091833	PDGFRB TRPC6 LRRTM4 SLIT3	#f0643e	#3969AC	Lung_c6
MU_19	Muscle	MU	19	str	MU_19_pericytes 2	Muscle pericytes	pericytes	161	928	1594.5	1183	4097	8.2765	0.247642909	low UMI; ITGA1+ TRPC6+	#89C75F	#3969AC	Muscle_c19
